end station name,trips
Union St & Bedford Ave,110
Union St & Nevins St,332
University Pl & E 14 St,4733
University Pl & E 8 St,2467
Van Brunt St & Van Dyke St,358
Van Brunt St & Wolcott St,384
Van Buren St & Broadway,77
Van Sinderen Ave & Truxton St,24
Vernon Blvd & 10 St,223
Vernon Blvd & 30 Rd,172
Vernon Blvd & 31 Ave,208
Vernon Blvd & 41 Rd,62
Vernon Blvd & 47 Rd,327
Vernon Blvd & 50 Ave,1272
Verona Pl & Fulton St,280
Vesey Pl & River Terrace,2353
W 100 St & Broadway,1088
W 100 St & Manhattan Ave,875
W 104 St & Amsterdam Ave,485
W 106 St & Amsterdam Ave,642
W 106 St & Central Park West,683
W 107 St & Columbus Ave,406
W 11 St & 6 Ave,2239
W 110 St & Amsterdam Ave,587
W 113 St & Broadway,470
W 116 St & Amsterdam Ave,508
W 116 St & Broadway,395
W 120 St & Claremont Ave,352
W 129 St & Convent Ave,196
W 13 St & 5 Ave,2551
W 13 St & 7 Ave,2859
W 15 St & 10 Ave,1563
W 15 St & 6 Ave,2263
W 15 St & 7 Ave,3169
W 16 St & The High Line,2031
W 17 St & 8 Ave,3392
W 18 St & 6 Ave,3719
W 18 St & 9 Ave,917
W 20 St & 11 Ave,4002
W 20 St & 7 Ave,2739
W 20 St & 8 Ave,2176
W 21 St & 6 Ave,6306
W 22 St & 10 Ave,2870
W 22 St & 8 Ave,3131
W 24 St & 7 Ave,3501
W 25 St & 6 Ave,2824
W 26 St & 10 Ave,2154
W 26 St & 8 Ave,3498
W 27 St & 7 Ave,3497
W 31 St & 7 Ave,4543
W 33 St & 7 Ave,4116
W 34 St & 11 Ave,2405
W 35 St & Dyer Ave,1607
W 37 St & 10 Ave,1951
W 37 St & 5 Ave,1696
W 38 St & 8 Ave,4059
W 4 St & 7 Ave S,2989
W 40 St & 5 Ave,2133
W 41 St & 8 Ave,4428
W 42 St & 6 Ave,412
W 42 St & 8 Ave,2805
W 42 St & Dyer Ave,1718
W 43 St & 10 Ave,2471
W 44 St & 5 Ave,2296
W 45 St & 6 Ave,2501
W 45 St & 8 Ave,2548
W 46 St & 11 Ave,1794
W 47 St & 10 Ave,1625
W 47 St & 6 Ave,566
W 49 St & 8 Ave,2651
W 50 St & 9 Ave,1992
W 52 St & 11 Ave,2601
W 52 St & 5 Ave,2064
W 52 St & 6 Ave,2430
W 55 St & 6 Ave,2210
W 56 St & 10 Ave,2531
W 59 St & 10 Ave,1737
W 63 St & Broadway,2175
W 64 St & Thelonious Monk Circle,1581
W 67 St & Broadway,2067
W 70 St & Amsterdam Ave,1764
W 74 St & Columbus Ave,1024
W 76 St & Columbus Ave,1144
W 78 St & Broadway,154
W 84 St & Broadway,1050
W 84 St & Columbus Ave,1268
W 87 St & Amsterdam Ave,830
W 87 St & West End Ave,709
W 89 St & Columbus Ave,1187
W 90 St & Amsterdam Ave,652
W 92 St & Broadway,841
W 95 St & Broadway,1300
W Broadway & Spring St,2460
W Broadway & W Houston St,320
Warren St & Court St,608
Washington Ave & Greene Ave,463
Washington Ave & Park Ave,648
Washington Park,531
Washington Pl & 6 Ave,1617
Washington Pl & Broadway,2133
Washington St & Gansevoort St,2179
Water - Whitehall Plaza,1309
Waterbury St & Stagg St,157
Watts St & Greenwich St,1516
West Drive & Prospect Park West,1092
West End Ave & W 107 St,532
West End Ave & W 94 St,581
West St & Chambers St,3110
West Thames St,1432
White St & Johnson Ave,53
White St & Moore St,166
William St & Pine St,1052
Willoughby Ave & Hall St,707
Willoughby Ave & Myrtle Ave,152
Willoughby Ave & Onderdonk Ave,32
Willoughby Ave & Tompkins Ave,231
Willoughby Ave & Walworth St,360
Willoughby Ave & Wyckoff Ave,124
Willoughby St & Fleet St,1391
Wilson Ave & Moffat St,103
Wilson Ave & Troutman St,92
Withers St & Kingsland Ave,125
Wolcott St & Dwight St,148
Woodward Ave & Harman St,58
Wyckoff Av & Jefferson St,168
Wyckoff Av & Stanhope St,173
Wyckoff St & 3 Ave,137
Wyckoff St & Bond St,146
Wyckoff St & Nevins St,51
Wythe Ave & Metropolitan Ave,1537
